providedExternalId	providedName	parseRelation	parsedExternalId	parsedName	parsedAuthority	parsedRank	parsedCommonNames	parsedPath	parsedPathIds	parsedPathNames	parsedPathAuthorships	parsedNameSource	parsedNameSourceUrl	parsedNameSourceAccessedAt	alignRelation	alignedCatalogName	alignedExternalId	alignedName	alignedAuthority	alignedRank	alignedCommonNames	alignedKingdomName	alignedKingdomId	alignedPhylumName	alignedPhylumId	alignedClassName	alignedClassId	alignedOrderName	alignedOrderId	alignedFamilyName	alignedFamilyId	alignedSubfamilyName	alignedSubfamilyId	alignedTribeName	alignedTribeId	alignedSubtribeName	alignedSubtribeId	alignedGenusName	alignedGenusId	alignedSubgenusName	alignedSubgenusId	alignedSpeciesName	alignedSpeciesId	alignedSubspeciesName	alignedSubspeciesId	alignedPath	alignedPathIds	alignedPathNames	alignedPathAuthorships	alignedNameSource	alignedNameSourceUrl	alignedNameSourceAccessedAt
	Bombus abnormis	SAME_AS		Bombus abnormis		species		Bombus | abnormis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	col	https://www.catalogueoflife.org/data/taxon/MFD5	Bombus abnormis	(Tkalcu, 1968)	species		Animalia	COL:N	Arthropoda	COL:RT	Insecta	COL:H6	Hymenoptera	COL:HYM	Apidae	COL:6KD	Apinae	COL:J5V	Bombini	COL:KN5			Bombus	COL:62H8K			Bombus abnormis	COL:MFD5			Biota | Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Apidae | Apinae | Bombini | Bombus | Bombus abnormis	COL:5T6MX | COL:N | COL:RT | COL:H6 | COL:HYM | COL:625GP | COL:6KD | COL:J5V | COL:KN5 | COL:62H8K | COL:MFD5	unranked | kingdom | phylum | class | order | superfamily | family | subfamily | tribe | genus | species		col	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus abnormis	SAME_AS		Bombus abnormis		species		Bombus | abnormis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	discoverlife	https://www.discoverlife.org/mp/20q?search=Bombus+abnormis	Bombus abnormis	(Tkalců, 1968)	species		Animalia	https://www.discoverlife.org/mp/20q?search=Animalia	Arthropoda	https://www.discoverlife.org/mp/20q?search=Arthropoda	Insecta	https://www.discoverlife.org/mp/20q?search=Insecta	Hymenoptera	https://www.discoverlife.org/mp/20q?search=Hymenoptera	Apidae	https://www.discoverlife.org/mp/20q?search=Apidae							Bombus	https://www.discoverlife.org/mp/20q?search=Bombus			Bombus abnormis	https://www.discoverlife.org/mp/20q?search=Bombus+abnormis			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus abnormis	https://www.discoverlife.org/mp/20q?search=Animalia | https://www.discoverlife.org/mp/20q?search=Arthropoda | https://www.discoverlife.org/mp/20q?search=Insecta | https://www.discoverlife.org/mp/20q?search=Hymenoptera | https://www.discoverlife.org/mp/20q?search=Apidae | https://www.discoverlife.org/mp/20q?search=Bombus | https://www.discoverlife.org/mp/20q?search=Bombus+abnormis	kingdom | phylum | class | order | family | genus | species		discoverlife	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus abnormis	SAME_AS		Bombus abnormis		species		Bombus | abnormis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	gbif	http://www.gbif.org/species/1340336	Bombus abnormis	(Tkalcu, 1968)	species		Animalia	GBIF:1	Arthropoda	GBIF:54	Insecta	GBIF:216	Hymenoptera	GBIF:1457	Apidae	GBIF:4334							Bombus	GBIF:1340278			Bombus abnormis	GBIF:1340336			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus abnormis	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:1340278 | GBIF:1340336	kingdom | phylum | class | order | family | genus | species		gbif	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus abnormis	SAME_AS		Bombus abnormis		species		Bombus | abnormis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	itis	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=714856	Bombus abnormis	(Tkalcu, 1968)	species		Animalia	ITIS:202423	Arthropoda	ITIS:82696	Insecta	ITIS:99208	Hymenoptera	ITIS:152741	Apidae	ITIS:154394	Apinae	ITIS:633913	Bombini	ITIS:633933			Bombus	ITIS:154397			Bombus abnormis	ITIS:714856			Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Apinae | Bombini | Bombus | Bombus abnormis	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154394 | ITIS:633913 | ITIS:633933 | ITIS:154397 | ITIS:714856	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species		itis	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus abnormis	SAME_AS		Bombus abnormis		species		Bombus | abnormis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	NONE	ncbi		Bombus abnormis																																ncbi	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus affinis	SAME_AS		Bombus affinis		species		Bombus | affinis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	col	https://www.catalogueoflife.org/data/taxon/MFD6	Bombus affinis	Cresson, 1863	species		Animalia	COL:N	Arthropoda	COL:RT	Insecta	COL:H6	Hymenoptera	COL:HYM	Apidae	COL:6KD	Apinae	COL:J5V	Bombini	COL:KN5			Bombus	COL:62H8K			Bombus affinis	COL:MFD6			Biota | Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Apidae | Apinae | Bombini | Bombus | Bombus affinis	COL:5T6MX | COL:N | COL:RT | COL:H6 | COL:HYM | COL:625GP | COL:6KD | COL:J5V | COL:KN5 | COL:62H8K | COL:MFD6	unranked | kingdom | phylum | class | order | superfamily | family | subfamily | tribe | genus | species		col	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus affinis	SAME_AS		Bombus affinis		species		Bombus | affinis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	discoverlife	https://www.discoverlife.org/mp/20q?search=Bombus+affinis	Bombus affinis	Cresson, 1863	species		Animalia	https://www.discoverlife.org/mp/20q?search=Animalia	Arthropoda	https://www.discoverlife.org/mp/20q?search=Arthropoda	Insecta	https://www.discoverlife.org/mp/20q?search=Insecta	Hymenoptera	https://www.discoverlife.org/mp/20q?search=Hymenoptera	Apidae	https://www.discoverlife.org/mp/20q?search=Apidae							Bombus	https://www.discoverlife.org/mp/20q?search=Bombus			Bombus affinis	https://www.discoverlife.org/mp/20q?search=Bombus+affinis			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus affinis	https://www.discoverlife.org/mp/20q?search=Animalia | https://www.discoverlife.org/mp/20q?search=Arthropoda | https://www.discoverlife.org/mp/20q?search=Insecta | https://www.discoverlife.org/mp/20q?search=Hymenoptera | https://www.discoverlife.org/mp/20q?search=Apidae | https://www.discoverlife.org/mp/20q?search=Bombus | https://www.discoverlife.org/mp/20q?search=Bombus+affinis	kingdom | phylum | class | order | family | genus | species		discoverlife	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus affinis	SAME_AS		Bombus affinis		species		Bombus | affinis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	gbif	http://www.gbif.org/species/1340481	Bombus affinis	Cresson, 1863	species		Animalia	GBIF:1	Arthropoda	GBIF:54	Insecta	GBIF:216	Hymenoptera	GBIF:1457	Apidae	GBIF:4334							Bombus	GBIF:1340278			Bombus affinis	GBIF:1340481			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus affinis	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:1340278 | GBIF:1340481	kingdom | phylum | class | order | family | genus | species		gbif	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus affinis	SAME_AS		Bombus affinis		species		Bombus | affinis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	itis	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=714782	Bombus affinis	Cresson, 1863	species		Animalia	ITIS:202423	Arthropoda	ITIS:82696	Insecta	ITIS:99208	Hymenoptera	ITIS:152741	Apidae	ITIS:154394	Apinae	ITIS:633913	Bombini	ITIS:633933			Bombus	ITIS:154397			Bombus affinis	ITIS:714782			Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Apinae | Bombini | Bombus | Bombus affinis	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154394 | ITIS:633913 | ITIS:633933 | ITIS:154397 | ITIS:714782	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species		itis	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus affinis	SAME_AS		Bombus affinis		species		Bombus | affinis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	SAME_AS	ncbi	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=309941	Bombus affinis		species		Metazoa	NCBI:33208	Arthropoda	NCBI:6656	Insecta	NCBI:50557	Hymenoptera	NCBI:7399	Apidae	NCBI:7458	Apinae	NCBI:70987	Bombini	NCBI:83311			Bombus	NCBI:28641	Bombus	NCBI:144708	Bombus affinis	NCBI:309941			root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Apinae | Bombini | Bombus | Bombus | Bombus affinis	NCBI:1 | NCBI:131567 | NCBI:2759 | NCBI:33154 | NCBI:33208 | NCBI:6072 | NCBI:33213 | NCBI:33317 | NCBI:1206794 | NCBI:88770 | NCBI:6656 | NCBI:197563 | NCBI:197562 | NCBI:6960 | NCBI:50557 | NCBI:85512 | NCBI:7496 | NCBI:33340 | NCBI:33392 | NCBI:7399 | NCBI:7400 | NCBI:7434 | NCBI:34735 | NCBI:7458 | NCBI:70987 | NCBI:83311 | NCBI:28641 | NCBI:144708 | NCBI:309941	|  | superkingdom | clade | kingdom | clade | clade | clade | clade | clade | phylum | clade | clade | subphylum | class | clade | subclass | infraclass | cohort | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | subgenus | species		ncbi	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus albopleuralis	SAME_AS		Bombus albopleuralis		species		Bombus | albopleuralis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	NONE	col		Bombus albopleuralis																																col	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus albopleuralis	SAME_AS		Bombus albopleuralis		species		Bombus | albopleuralis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	discoverlife	https://www.discoverlife.org/mp/20q?search=Bombus+albopleuralis	Bombus albopleuralis	Friese, 1916	species		Animalia	https://www.discoverlife.org/mp/20q?search=Animalia	Arthropoda	https://www.discoverlife.org/mp/20q?search=Arthropoda	Insecta	https://www.discoverlife.org/mp/20q?search=Insecta	Hymenoptera	https://www.discoverlife.org/mp/20q?search=Hymenoptera	Apidae	https://www.discoverlife.org/mp/20q?search=Apidae							Bombus	https://www.discoverlife.org/mp/20q?search=Bombus			Bombus albopleuralis	https://www.discoverlife.org/mp/20q?search=Bombus+albopleuralis			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus albopleuralis	https://www.discoverlife.org/mp/20q?search=Animalia | https://www.discoverlife.org/mp/20q?search=Arthropoda | https://www.discoverlife.org/mp/20q?search=Insecta | https://www.discoverlife.org/mp/20q?search=Hymenoptera | https://www.discoverlife.org/mp/20q?search=Apidae | https://www.discoverlife.org/mp/20q?search=Bombus | https://www.discoverlife.org/mp/20q?search=Bombus+albopleuralis	kingdom | phylum | class | order | family | genus | species		discoverlife	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus albopleuralis	SAME_AS		Bombus albopleuralis		species		Bombus | albopleuralis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	NONE	gbif		Bombus albopleuralis																																gbif	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus albopleuralis	SAME_AS		Bombus albopleuralis		species		Bombus | albopleuralis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	NONE	itis		Bombus albopleuralis																																itis	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus albopleuralis	SAME_AS		Bombus albopleuralis		species		Bombus | albopleuralis		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	SYNONYM_OF	ncbi	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=130714	Bombus trifasciatus		species		Metazoa	NCBI:33208	Arthropoda	NCBI:6656	Insecta	NCBI:50557	Hymenoptera	NCBI:7399	Apidae	NCBI:7458	Apinae	NCBI:70987	Bombini	NCBI:83311			Bombus	NCBI:28641	Diversobombus	NCBI:144710	Bombus trifasciatus	NCBI:130714			root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Apinae | Bombini | Bombus | Diversobombus | Bombus trifasciatus	NCBI:1 | NCBI:131567 | NCBI:2759 | NCBI:33154 | NCBI:33208 | NCBI:6072 | NCBI:33213 | NCBI:33317 | NCBI:1206794 | NCBI:88770 | NCBI:6656 | NCBI:197563 | NCBI:197562 | NCBI:6960 | NCBI:50557 | NCBI:85512 | NCBI:7496 | NCBI:33340 | NCBI:33392 | NCBI:7399 | NCBI:7400 | NCBI:7434 | NCBI:34735 | NCBI:7458 | NCBI:70987 | NCBI:83311 | NCBI:28641 | NCBI:144710 | NCBI:130714	|  | superkingdom | clade | kingdom | clade | clade | clade | clade | clade | phylum | clade | clade | subphylum | class | clade | subclass | infraclass | cohort | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | subgenus | species		ncbi	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus alpinus	SAME_AS		Bombus alpinus		species		Bombus | alpinus		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	col	https://www.catalogueoflife.org/data/taxon/MFDH	Bombus alpinus	(Linnaeus, 1758)	species		Animalia	COL:N	Arthropoda	COL:RT	Insecta	COL:H6	Hymenoptera	COL:HYM	Apidae	COL:6KD	Apinae	COL:J5V	Bombini	COL:KN5			Bombus	COL:62H8K			Bombus alpinus	COL:MFDH			Biota | Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Apidae | Apinae | Bombini | Bombus | Bombus alpinus	COL:5T6MX | COL:N | COL:RT | COL:H6 | COL:HYM | COL:625GP | COL:6KD | COL:J5V | COL:KN5 | COL:62H8K | COL:MFDH	unranked | kingdom | phylum | class | order | superfamily | family | subfamily | tribe | genus | species		col	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus alpinus	SAME_AS		Bombus alpinus		species		Bombus | alpinus		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	discoverlife	https://www.discoverlife.org/mp/20q?search=Bombus+alpinus	Bombus alpinus	(Linnaeus, 1758)	species		Animalia	https://www.discoverlife.org/mp/20q?search=Animalia	Arthropoda	https://www.discoverlife.org/mp/20q?search=Arthropoda	Insecta	https://www.discoverlife.org/mp/20q?search=Insecta	Hymenoptera	https://www.discoverlife.org/mp/20q?search=Hymenoptera	Apidae	https://www.discoverlife.org/mp/20q?search=Apidae							Bombus	https://www.discoverlife.org/mp/20q?search=Bombus			Bombus alpinus	https://www.discoverlife.org/mp/20q?search=Bombus+alpinus			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus alpinus	https://www.discoverlife.org/mp/20q?search=Animalia | https://www.discoverlife.org/mp/20q?search=Arthropoda | https://www.discoverlife.org/mp/20q?search=Insecta | https://www.discoverlife.org/mp/20q?search=Hymenoptera | https://www.discoverlife.org/mp/20q?search=Apidae | https://www.discoverlife.org/mp/20q?search=Bombus | https://www.discoverlife.org/mp/20q?search=Bombus+alpinus	kingdom | phylum | class | order | family | genus | species		discoverlife	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
	Bombus alpinus	SAME_AS		Bombus alpinus		species		Bombus | alpinus		genus | specificEpithet		gbif-parse	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e	HAS_ACCEPTED_NAME	gbif	http://www.gbif.org/species/1340325	Bombus alpinus	(Linnaeus, 1758)	species		Animalia	GBIF:1	Arthropoda	GBIF:54	Insecta	GBIF:216	Hymenoptera	GBIF:1457	Apidae	GBIF:4334							Bombus	GBIF:1340278			Bombus alpinus	GBIF:1340325			Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Bombus | Bombus alpinus	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:1340278 | GBIF:1340325	kingdom | phylum | class | order | family | genus | species		gbif	https://linker.bio,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/d2903d0384a8b8193819b8061c8c4e6fec8cc2f7fe72dc0e91c90c07ba2fe15e
